day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
0;0;ROSES;14990;6;14988;20;14987;5;15010;16;15011;4;15012;3;15000.0;-0.0
0;0;CHOCOLATE;7994;25;7991;22;7990;18;8006;12;8009;19;8010;23;8000.2;0.0
0;100;ROSES;14990;11;14989;7;14986;9;15010;13;15012;6;15014;5;14999.9;0.0
0;100;CHOCOLATE;7994;19;7992;22;7989;8;8006;17;8008;7;8009;22;8000.0;0.0
0;200;ROSES;14990;5;14988;4;14985;10;15010;12;15011;5;15014;10;14999.7;0.0
0;200;CHOCOLATE;7994;16;7992;16;7989;11;8006;13;8008;25;8009;7;8000.2;-0.0
0;300;ROSES;14990;15;14987;11;14986;20;15010;10;15011;13;15013;4;14999.6;-0.0
0;300;CHOCOLATE;7994;11;7992;23;7990;15;8006;11;8008;25;8009;20;8000.2;0.0
0;400;ROSES;14989;10;14987;20;14986;20;15009;11;15011;16;15012;15;14999.1;0.0
0;400;CHOCOLATE;7994;6;7993;8;7990;9;8006;25;8008;10;8009;18;7999.5;0.0
0;500;ROSES;14989;20;14986;3;14984;6;15009;20;15012;11;15014;13;14998.8;-0.0
0;500;CHOCOLATE;7994;13;7992;21;7991;10;8006;21;8009;8;8012;25;7999.8;0.0
0;600;ROSES;14989;8;14986;20;14985;19;15009;3;15010;13;15012;18;14998.7;0.0
0;600;CHOCOLATE;7994;23;7992;7;7991;7;8006;20;8007;7;8008;22;8000.4;0.0
0;700;ROSES;14989;19;14987;16;14984;9;15009;20;15010;9;15012;12;14998.7;-0.0
0;700;CHOCOLATE;7994;8;7992;12;7990;12;8006;7;8009;15;8011;5;8000.1;0.0
0;800;ROSES;14988;4;14987;10;14986;5;15008;4;15009;13;15012;5;14998.5;-0.0
0;800;CHOCOLATE;7994;23;7992;23;7991;20;8006;12;8009;20;8010;18;7999.8;-0.0
0;900;ROSES;14989;17;14987;4;14985;6;15009;4;15011;15;15013;13;14998.6;0.0
0;900;CHOCOLATE;7994;9;7993;18;7992;10;8006;13;8009;19;8011;12;7999.9;-0.0
0;1000;ROSES;14989;20;14986;3;14985;5;15009;10;15010;8;15013;16;14998.7;-0.0
0;1000;CHOCOLATE;7994;5;7992;17;7991;13;8006;19;8007;14;8009;18;7999.7;0.0
0;1100;ROSES;14988;7;14985;9;14982;12;15008;9;15011;4;15013;20;14998.5;-0.0
0;1100;CHOCOLATE;7994;21;7993;10;7990;6;8006;21;8008;7;8011;10;7999.9;0.0
0;1200;ROSES;14989;10;14988;4;14986;5;15009;16;15010;19;15013;13;14998.6;0.0
0;1200;CHOCOLATE;7994;17;7991;9;7989;25;8006;14;8007;19;8009;15;8000.1;-0.0
0;1300;ROSES;14989;6;14988;5;14986;20;15009;9;15012;19;15015;11;14999.2;-0.0
0;1300;CHOCOLATE;7994;10;7993;19;7992;22;8006;14;8008;24;8010;25;8000.3;0.0
0;1400;ROSES;14989;7;14986;11;14984;6;15009;6;15012;20;15013;7;14998.8;-0.0
0;1400;CHOCOLATE;7994;25;7991;13;7989;21;8006;20;8007;13;8010;6;8000.2;0.0
0;1500;ROSES;14989;7;14987;11;14986;8;15009;17;15010;20;15012;16;14999.1;0.0
0;1500;CHOCOLATE;7994;16;7991;23;7990;22;8006;9;8009;18;8010;9;8000.1;-0.0
0;1600;ROSES;14989;10;14988;6;14986;14;15009;20;15010;16;15013;7;14999.3;0.0
0;1600;CHOCOLATE;7994;10;7993;15;7992;18;8006;12;8008;13;8009;10;8000.3;-0.0
0;1700;ROSES;14989;17;14988;14;14986;12;15009;10;15010;10;15011;3;14999.4;-0.0
0;1700;CHOCOLATE;7994;25;7992;21;7991;17;8006;22;8008;15;8010;5;8000.1;-0.0
0;1800;ROSES;14990;6;14989;16;14986;14;15010;13;15012;16;15013;19;15000.0;0.1
0;1800;CHOCOLATE;7995;18;7994;5;7992;21;8007;22;8008;11;8011;16;8000.6;0.1
0;1900;ROSES;14989;6;14987;12;14984;19;15009;12;15011;16;15014;13;14999.3;0.0
0;1900;CHOCOLATE;7994;17;7993;10;7992;24;8006;23;8008;14;8011;17;8000.4;0.0
0;2000;ROSES;14989;13;14987;17;14986;17;15009;17;15011;9;15014;19;14999.3;-0.0
0;2000;CHOCOLATE;7994;14;7991;21;7990;25;8006;24;8009;15;8010;7;7999.8;0.0
0;2100;ROSES;14990;7;14987;3;14985;4;15010;10;15011;18;15012;5;14999.5;-0.1
0;2100;CHOCOLATE;7993;17;7990;20;7989;17;8005;12;8008;9;8011;25;7999.2;0.0
0;2200;ROSES;14989;19;14988;17;14986;4;15009;20;15010;10;15011;6;14999.3;-0.1
0;2200;CHOCOLATE;7993;15;7990;19;7987;24;8005;21;8008;18;8011;22;7998.7;0.0
0;2300;ROSES;14989;11;14987;19;14985;18;15009;10;15011;11;15012;17;14999.1;0.0
0;2300;CHOCOLATE;7993;7;7991;9;7989;9;8005;12;8007;17;8010;9;7998.9;0.0
0;2400;ROSES;14989;16;14987;4;14985;9;15009;16;15012;15;15014;3;14999.1;-0.0
0;2400;CHOCOLATE;7993;14;7991;17;7989;18;8005;22;8006;22;8008;24;7999.2;-0.1
0;2500;ROSES;14989;15;14987;13;14985;15;15009;8;15011;17;15012;7;14999.3;-0.0
0;2500;CHOCOLATE;7994;5;7992;7;7989;25;8006;18;8009;9;8012;19;7999.6;-0.0
0;2600;ROSES;14989;13;14987;15;14986;11;15009;16;15011;11;15013;5;14999.4;0.0
0;2600;CHOCOLATE;7993;7;7992;25;7990;6;8005;5;8006;12;8009;11;7999.1;0.0
0;2700;ROSES;14990;6;14989;9;14988;17;15010;11;15012;14;15015;8;14999.7;-0.1
0;2700;CHOCOLATE;7992;8;7989;23;7988;5;8004;14;8005;23;8007;17;7998.5;-0.1
0;2800;ROSES;14989;10;14988;6;14985;12;15009;6;15012;4;15015;14;14999.3;0.1
0;2800;CHOCOLATE;7992;5;7991;18;7988;20;8004;8;8007;18;8009;16;7998.0;-0.0
0;2900;ROSES;14989;19;14986;11;14985;20;15009;18;15011;17;15012;16;14998.9;-0.1
0;2900;CHOCOLATE;7992;19;7990;12;7989;19;8004;23;8005;24;8007;17;7998.2;-0.1
0;3000;ROSES;14989;14;14987;11;14986;13;15009;11;15011;11;15012;20;14998.7;0.1
0;3000;CHOCOLATE;7993;20;7992;22;7991;12;8005;20;8008;25;8010;20;7998.9;0.0
0;3100;ROSES;14989;10;14987;12;14986;14;15009;18;15011;20;15014;19;14998.7;0.0
0;3100;CHOCOLATE;7992;19;7989;13;7987;14;8004;13;8006;12;8009;8;7998.4;0.2
0;3200;ROSES;14989;9;14986;9;14983;18;15009;11;15012;19;15013;12;14998.6;-0.1
0;3200;CHOCOLATE;7993;14;7991;5;7990;22;8005;9;8007;13;8008;6;7998.9;-0.0
0;3300;ROSES;14989;6;14986;3;14985;12;15009;18;15012;18;15014;17;14999.0;-0.0
0;3300;CHOCOLATE;7992;17;7990;20;7988;7;8004;23;8005;25;8006;6;7998.5;0.2
0;3400;ROSES;14989;20;14987;16;14986;10;15009;19;15010;15;15011;17;14999.3;0.1
0;3400;CHOCOLATE;7993;24;7990;6;7988;24;8005;8;8007;11;8010;25;7998.7;-0.0
0;3500;ROSES;14989;5;14988;8;14987;3;15009;16;15010;17;15013;18;14999.4;0.1
0;3500;CHOCOLATE;7993;7;7990;12;7988;13;8005;25;8008;23;8010;11;7998.7;0.1
0;3600;ROSES;14989;5;14986;4;14985;8;15009;12;15011;12;15012;17;14999.1;0.1
0;3600;CHOCOLATE;7993;22;7990;20;7988;19;8005;7;8007;24;8010;6;7999.0;0.1
0;3700;ROSES;14990;10;14987;3;14985;11;15010;4;15011;8;15012;18;14999.5;-0.1
0;3700;CHOCOLATE;7993;25;7991;20;7990;7;8005;20;8008;16;8010;18;7998.7;-0.0
0;3800;ROSES;14989;18;14988;12;14986;15;15009;20;15011;4;15014;17;14999.2;0.1
